take_name,split,task,label
cmu_bike01_2,train,Bike Repair,7
cmu_bike01_4,train,Bike Repair,7
cmu_bike01_5,train,Bike Repair,7
cmu_bike01_7,train,Bike Repair,7
cmu_bike02_2,train,Bike Repair,7
cmu_bike02_3,train,Bike Repair,7
cmu_bike02_4,train,Bike Repair,7
cmu_bike02_5,train,Bike Repair,7
cmu_bike02_6,train,Bike Repair,7
cmu_bike03_2,train,Bike Repair,7
cmu_bike03_3,train,Bike Repair,7
cmu_bike03_4,train,Bike Repair,7
cmu_bike03_5,train,Bike Repair,7
cmu_bike05_2,train,Bike Repair,7
cmu_bike05_4,train,Bike Repair,7
cmu_bike05_5,train,Bike Repair,7
cmu_bike05_6,train,Bike Repair,7
cmu_bike06_2,test,Bike Repair,7
cmu_bike06_4,test,Bike Repair,7
cmu_bike06_5,train,Bike Repair,7
cmu_bike08_2,test,Bike Repair,7
cmu_bike08_5,train,Bike Repair,7
cmu_bike08_6,train,Bike Repair,7
cmu_bike09_2,test,Bike Repair,7
cmu_bike09_4,test,Bike Repair,7
cmu_bike09_5,train,Bike Repair,7
cmu_bike09_6,train,Bike Repair,7
cmu_bike10_2,test,Bike Repair,7
cmu_bike10_3,test,Bike Repair,7
cmu_bike10_4,test,Bike Repair,7
cmu_bike10_5,train,Bike Repair,7
cmu_bike10_7,train,Bike Repair,7
cmu_bike12_2,train,Bike Repair,7
cmu_bike12_3,train,Bike Repair,7
cmu_bike12_4,train,Bike Repair,7
cmu_bike12_5,train,Bike Repair,7
cmu_bike13_2,train,Bike Repair,7
cmu_bike13_4,train,Bike Repair,7
cmu_bike13_5,train,Bike Repair,7
cmu_bike13_6,train,Bike Repair,7
cmu_bike14_2,train,Bike Repair,7
cmu_bike14_3,train,Bike Repair,7
cmu_bike14_4,train,Bike Repair,7
cmu_bike14_5,train,Bike Repair,7
cmu_bike15_2,train,Bike Repair,7
cmu_bike15_3,train,Bike Repair,7
cmu_bike15_4,train,Bike Repair,7
cmu_bike15_5,train,Bike Repair,7
cmu_bike16_2,train,Bike Repair,7
cmu_bike16_3,train,Bike Repair,7
cmu_bike16_4,train,Bike Repair,7
cmu_bike16_5,train,Bike Repair,7
cmu_bike17_2,train,Bike Repair,7
cmu_bike17_3,train,Bike Repair,7
cmu_bike17_4,train,Bike Repair,7
cmu_bike17_5,train,Bike Repair,7
cmu_bike18_2,train,Bike Repair,7
cmu_bike18_3,train,Bike Repair,7
cmu_bike18_5,train,Bike Repair,7
cmu_bike18_6,train,Bike Repair,7
cmu_bike19_2,train,Bike Repair,7
cmu_bike19_3,train,Bike Repair,7
cmu_bike19_4,train,Bike Repair,7
cmu_bike19_5,train,Bike Repair,7
cmu_bike20_2,train,Bike Repair,7
cmu_bike20_3,train,Bike Repair,7
cmu_bike20_4,train,Bike Repair,7
cmu_bike20_5,train,Bike Repair,7
cmu_bike21_2,train,Bike Repair,7
cmu_bike21_3,train,Bike Repair,7
cmu_bike21_4,train,Bike Repair,7
cmu_bike21_5,train,Bike Repair,7
cmu_soccer03_1,train,Soccer,5
cmu_soccer03_2,train,Soccer,5
cmu_soccer03_3,train,Soccer,5
cmu_soccer06_2,val,Soccer,5
cmu_soccer06_3,val,Soccer,5
cmu_soccer06_4,train,Soccer,5
cmu_soccer06_5,train,Soccer,5
cmu_soccer06_6,train,Soccer,5
cmu_soccer07_1,train,Soccer,5
cmu_soccer07_2,train,Soccer,5
cmu_soccer07_3,train,Soccer,5
cmu_soccer08_1,train,Soccer,5
cmu_soccer08_2,train,Soccer,5
cmu_soccer08_3,train,Soccer,5
cmu_soccer09_1,train,Soccer,5
cmu_soccer09_2,train,Soccer,5
cmu_soccer11_2,train,Soccer,5
cmu_soccer12_2,val,Soccer,5
cmu_soccer14_2,test,Soccer,5
cmu_soccer14_4,train,Soccer,5
cmu_soccer14_5,train,Soccer,5
cmu_soccer15_2,train,Soccer,5
cmu_soccer15_3,train,Soccer,5
cmu_soccer15_5,train,Soccer,5
cmu_soccer16_2,val,Soccer,5
cmu_soccer16_4,train,Soccer,5
cmu_soccer16_6,train,Soccer,5
fair_bike_01_10,train,Bike Repair,7
fair_bike_01_11,train,Bike Repair,7
fair_bike_01_12,train,Bike Repair,7
fair_bike_01_14,train,Bike Repair,7
fair_bike_01_15,train,Bike Repair,7
fair_bike_01_16,train,Bike Repair,7
fair_bike_01_2,train,Bike Repair,7
fair_bike_01_3,train,Bike Repair,7
fair_bike_01_4,train,Bike Repair,7
fair_bike_01_6,train,Bike Repair,7
