pose_file,t0_idx,t1_idx,timestamp_idx,sr,cam_traj_len,description_text
uniandes_bouldering_027_106/part0000.npy,33,36,34,5.0,85,C walks towards the bouldering wall.
uniandes_bouldering_027_106/part0000.npy,39,42,40,5.0,85,C grabs a big orange handhold with her right hand.
uniandes_bouldering_027_106/part0000.npy,40,42,41,5.0,85,C grabs the big orange handhold with her left hand.
uniandes_bouldering_027_106/part0000.npy,47,50,49,5.0,85,C places her right foot on a small orange foothold.
uniandes_bouldering_027_106/part0000.npy,60,62,61,5.0,85,C places her left foot on a big yellow foothold.
uniandes_bouldering_027_106/part0000.npy,76,78,77,5.0,85,C touches a big yellow handhold with her left hand.
uniandes_bouldering_027_106/part0000.npy,77,79,78,5.0,85,C jumps off the bouldering wall.
uniandes_bouldering_027_106/part0000.npy,77,80,79,5.0,85,C lands on the floor mat.
uniandes_bouldering_027_113/part0000.npy,1,4,2,5.0,55,C grabs a big orange handhold with her right hand.
uniandes_bouldering_027_113/part0000.npy,8,11,9,5.0,55,C places her right foot on a big yellow foothold.
uniandes_bouldering_027_113/part0000.npy,15,18,16,5.0,55,C places her left foot on a medium orange foothold.
uniandes_bouldering_027_113/part0000.npy,20,23,22,5.0,55,C touches a big orange handhold with her right hand.
uniandes_bouldering_027_113/part0000.npy,24,27,25,5.0,55,C grabs a big orange handhold with her right hand.
uniandes_bouldering_027_113/part0000.npy,33,36,34,5.0,55,C grabs a big orange handhold with her left hand.
uniandes_bouldering_027_113/part0000.npy,43,45,44,5.0,55,C drops off the bouldering wall.
uniandes_bouldering_027_113/part0000.npy,45,47,46,5.0,55,C lands on the mat.
unc_basketball_03-31-23_02_26/part0000.npy,15,17,16,5.01481923541683,282,C walks towards the hoop with the basketball.
unc_basketball_03-31-23_02_26/part0000.npy,21,23,22,5.01481923541683,282,C runs towards the hoop with the basketball.
unc_basketball_03-31-23_02_26/part0000.npy,23,26,25,5.01481923541683,282,C steps with his left knee.
unc_basketball_03-31-23_02_26/part0000.npy,25,28,26,5.01481923541683,282,C throws the basketball into over rim
unc_basketball_03-31-23_02_26/part0000.npy,34,36,35,5.01481923541683,282,C catches the basketball with his left hand.
unc_basketball_03-31-23_02_26/part0000.npy,35,38,37,5.01481923541683,282,C bounces the basketball while appraoching the three point line.
unc_basketball_03-31-23_02_26/part0000.npy,44,46,45,5.01481923541683,282,C bounces the basketball towards the hoop with his left hand.
unc_basketball_03-31-23_02_26/part0000.npy,49,51,50,5.01481923541683,282,C steps with his left knee.
unc_basketball_03-31-23_02_26/part0000.npy,50,53,51,5.01481923541683,282,C throws the basketball into the rim.
unc_basketball_03-31-23_02_26/part0000.npy,58,61,60,5.01481923541683,282,C catches the basketball with his hands.
unc_basketball_03-31-23_02_26/part0000.npy,60,63,62,5.01481923541683,282,C bounces the basketball while appraoching the three point line.
unc_basketball_03-31-23_02_26/part0000.npy,69,71,70,5.01481923541683,282,C bounces the ball while approaching the hoop.
unc_basketball_03-31-23_02_26/part0000.npy,75,77,76,5.01481923541683,282,C steps with his left knee.
unc_basketball_03-31-23_02_26/part0000.npy,76,78,77,5.01481923541683,282,C throws the basketball into the rim.
unc_basketball_03-31-23_02_26/part0000.npy,82,85,84,5.01481923541683,282,C catches the basketball with his right hand.
unc_basketball_03-31-23_02_26/part0000.npy,86,88,87,5.01481923541683,282,C bounces the ball while appraoching the three point line.
unc_basketball_03-31-23_02_26/part0000.npy,94,96,95,5.01481923541683,282,C bounces the basketball while approaching the hoop.
unc_basketball_03-31-23_02_26/part0000.npy,98,101,100,5.01481923541683,282,C steps with his left knee.
unc_basketball_03-31-23_02_26/part0000.npy,100,103,101,5.01481923541683,282,C throws the basketball into the rim.
unc_basketball_03-31-23_02_26/part0000.npy,105,108,106,5.01481923541683,282,C catches the basketball with his right hand.
unc_basketball_03-31-23_02_26/part0000.npy,106,109,107,5.01481923541683,282,C bounces the ball while appraoching the three point line.
